SUMMARY
Performance of the best performing model for different configurations:



With specification {'n_estimators': 200, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': None}, the best Winkler score is obtained at 11% with Winkler score of 329536.1084928574, with accuracy 0.7724838411819022.

With specification {'n_estimators': 200, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt'}, the best Winkler score is obtained at 9% with Winkler score of 338608.1466872339, with accuracy 0.7891043397968606.

With specification {'n_estimators': 200, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2'}, the best Winkler score is obtained at 9% with Winkler score of 342144.3028718929, with accuracy 0.7807940904893813.

With specification {'n_estimators': 200, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': None}, the best Winkler score is obtained at 7% with Winkler score of 336450.254129638, with accuracy 0.8009233610341644.

With specification {'n_estimators': 200, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt'}, the best Winkler score is obtained at 7% with Winkler score of 353243.40357073926, with accuracy 0.7608494921514312.

With specification {'n_estimators': 200, 'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2'}, the best Winkler score is obtained at 7% with Winkler score of 360024.8427279063, with accuracy 0.7505078485687904.

