name,lon,lat
Wilsele Ecowerf,4.7095227,50.9029542
Porte de Hal - Hallepoort,4.3433622,50.833783
Wijgmaal Korte Dolagestraat,4.6990595,50.9259886
Heverlee Kasteel Arenberg,4.6822936,50.8608966
Heverlee Rotspoelstraat,4.653581,50.8563718
Heverlee Rotspoelstraat,4.6537858,50.8563658
Korbeek-Dijle Kosterberg,4.6390557,50.8394529
Korbeek-Dijle Kosterberg,4.6390825,50.8397043
Korbeek-Dijle Blokkenstraat,4.6408584,50.842595
Korbeek-Dijle Blokkenstraat,4.6407862,50.8426841
Korbeek-Dijle Veeweide,4.6441486,50.8445501
Korbeek-Dijle Veeweide,4.6449363,50.8450966
Heverlee Ormendaal,4.6494271,50.8499494
Heverlee Ormendaal,4.6495212,50.8503504
Bertem Oud Station,4.6271825,50.8650949
Bertem Oud Station,4.627188,50.8649986
Bertem Blokkenstraat,4.62168,50.8605
Bertem Voer,4.6208582,50.8602368
Bertem Voer,4.6207822,50.8601513
